time,open,high,low,close,tickvol,vol
2023-09-18,119750.0,120585.0,119160.0,119590.0,4110542,14702164
2023-09-19,119680.0,119715.0,118620.0,118850.0,4471861,16706060
2023-09-20,119035.0,120700.0,118970.0,119530.0,4528975,17011184
2023-09-21,118700.0,118715.0,116805.0,116885.0,5006705,17787193
2023-09-22,117460.0,117995.0,116635.0,117110.0,4120142,15385027
2023-09-25,116400.0,117130.0,116175.0,117005.0,3775526,13538750
2023-09-26,116550.0,116745.0,114685.0,114805.0,4535078,17016650
2023-09-27,115400.0,115995.0,113985.0,114970.0,4701260,17250284
2023-09-28,115000.0,116620.0,114695.0,116570.0,5021479,17370812
2023-09-29,116965.0,117730.0,116410.0,117225.0,4602605,16242065
2023-10-02,117000.0,117295.0,115230.0,115580.0,4455364,16238939
2023-10-03,115000.0,115525.0,113555.0,113620.0,5242429,18887900
2023-10-04,114290.0,114580.0,113420.0,113780.0,4968254,17412423
2023-10-05,114000.0,114720.0,113030.0,113750.0,4767676,16691112
2023-10-06,113800.0,114795.0,111860.0,114700.0,6020766,20323637
2023-10-09,113620.0,115695.0,113440.0,115690.0,4726676,16853526
2023-10-10,115900.0,117180.0,115745.0,116760.0,4435123,15981873
2023-10-11,117295.0,117695.0,116385.0,117405.0,4517606,16081999
2023-10-13,116300.0,117185.0,115685.0,115875.0,4634014,16105059
2023-10-16,116400.0,117035.0,116095.0,116420.0,4561649,15965669
2023-10-17,116140.0,116970.0,115560.0,115720.0,4874186,17538195
2023-10-18,117150.0,117400.0,115700.0,115750.0,4808053,17778174
2023-10-19,115650.0,116920.0,115555.0,115675.0,5777609,20984495
2023-10-20,115470.0,115825.0,114190.0,114770.0,5089468,19331478
2023-10-23,114290.0,115375.0,113785.0,114615.0,5266535,18819558
2023-10-24,115395.0,115860.0,114355.0,115450.0,5533532,19966545
2023-10-25,115400.0,115695.0,114180.0,114310.0,5227366,18272696
2023-10-26,113820.0,116755.0,113680.0,116720.0,5941031,20297000
2023-10-27,116665.0,116860.0,114340.0,114960.0,5660851,20495892
2023-10-30,115550.0,115910.0,113600.0,113800.0,5120808,18556407
2023-10-31,114250.0,114980.0,113415.0,114670.0,5463260,19838003
2023-11-01,114530.0,116905.0,114220.0,116905.0,5526831,19604556
2023-11-03,117765.0,119875.0,117715.0,119785.0,4579069,16556260
2023-11-06,119650.0,120125.0,119290.0,119860.0,4336961,16071165
2023-11-07,119350.0,120875.0,118995.0,120445.0,4582263,17359528
2023-11-08,120210.0,121240.0,119665.0,120355.0,4798574,18560944
2023-11-09,120545.0,121465.0,119525.0,120295.0,5198184,19897899
2023-11-10,120545.0,122010.0,120310.0,121850.0,4540285,16495042
2023-11-13,121555.0,121660.0,120865.0,121615.0,4045251,15403370
2023-11-14,121575.0,124790.0,121550.0,124615.0,4370829,15513570
2023-11-16,124475.0,125830.0,124125.0,125830.0,4779619,17572742
2023-11-17,125835.0,126440.0,125465.0,125895.0,4168249,14846870
2023-11-20,126165.0,127115.0,125845.0,127100.0,3773003,13700890
2023-11-21,126790.0,126990.0,125870.0,126525.0,4294576,15725957
2023-11-22,126620.0,127730.0,126245.0,126855.0,4731220,17252696
2023-11-23,126600.0,127545.0,126390.0,127495.0,2765295,9646998
2023-11-24,127350.0,127360.0,126040.0,126340.0,3428915,12444093
2023-11-27,126095.0,126645.0,125485.0,126480.0,4189995,15239549
2023-11-28,126115.0,127525.0,125960.0,127200.0,4083025,15741785
2023-11-29,127400.0,127885.0,126465.0,126695.0,4029889,15919642
2023-11-30,127000.0,127965.0,126625.0,127815.0,4017501,15156871
2023-12-01,128090.0,128650.0,127070.0,128465.0,4347495,15748826
2023-12-04,127935.0,128195.0,127010.0,127310.0,3992914,14238413
2023-12-05,127100.0,127860.0,126780.0,127100.0,4845900,17622156
2023-12-06,127495.0,127880.0,125735.0,125735.0,4480112,16200051
2023-12-07,125935.0,126835.0,125755.0,126295.0,4188123,15447826
2023-12-08,126415.0,127495.0,125670.0,127240.0,4731228,17179789
2023-12-11,127125.0,127300.0,126565.0,127165.0,3787664,14751038
2023-12-12,127410.0,127590.0,126010.0,126525.0,3707376,13090538
2023-12-13,128690.0,132325.0,128315.0,132210.0,4507385,16447814
2023-12-14,132625.0,133350.0,132405.0,132910.0,4003439,14690348
2023-12-15,133100.0,133760.0,131930.0,132320.0,3744140,13354481
2023-12-18,132450.0,133495.0,132445.0,133115.0,3153119,11574534
2023-12-19,133150.0,134045.0,133010.0,133990.0,3413269,13178485
2023-12-20,133610.0,134325.0,132530.0,132730.0,4118613,15047630
2023-12-21,133375.0,134240.0,133270.0,134240.0,4016533,13939621
2023-12-22,134100.0,134920.0,133910.0,134495.0,3174815,12202311
2023-12-26,134760.0,135550.0,134520.0,135480.0,2378748,8306871
2023-12-27,135400.0,136100.0,135070.0,136070.0,2760075,10458214
2023-12-28,135780.0,136085.0,135425.0,135850.0,2784718,10267608
2024-01-02,135250.0,135350.0,133550.0,134230.0,3568454,13305027
2024-01-03,133925.0,135150.0,133620.0,134600.0,4107990,15073372
2024-01-04,134650.0,134715.0,132390.0,132530.0,3906477,15293579
2024-01-05,132310.0,134040.0,131840.0,133520.0,4426059,16306184
